project,module,STANDARD_LIB,JAVAMOP,RVMONITOR,PROJECT,THIRD_PARTY_LIB,NATIVE,ASPECTJ,OTHER,VIOLATION,ASPECTJ_INSTRUMENTATION,ASPECTJ_RUNTIME,ASPECTJ_OTHER,MONITORING,SPECIFICATION,MOP_AND_AJC,RVMONITOR_LOCK,MONITORING_LOCK,LOCK,UNKNOWN,sum manual,sum profiler
walmartlabs-gozer,walmartlabs-gozer,0,0,10,180,0,0,0,147,0,15430,145,8,9,14,126,0,1,2,0,16072,16072
wang007-vertx-start,wang007-vertx-start,0,0,5,71,0,0,0,103,0,3670,32,0,11,14,120,0,0,0,0,4026,4026
warmuuh-libsass-maven-plugin,warmuuh-libsass-maven-plugin,0,0,3,42,0,0,0,40,0,1063,3,1,13,7,63,0,0,0,0,1235,1235
wavefrontHQ-wavefront-fdb-tailer,wavefrontHQ-wavefront-fdb-tailer,0,0,6,105,0,0,0,96,0,7224,270,5,3,11,147,1,1,0,0,7869,7869
wavefrontHQ-wftop,wavefrontHQ-wftop,0,0,3,90,0,0,0,108,0,4558,193,4,8,7,127,0,3,1,0,5102,5102
waynedyck-gwt-gantt,waynedyck-gwt-gantt,0,0,1,6,0,0,0,46,0,382,1,0,6,6,89,0,0,0,0,537,537
wcnwyx-gm-encryption,wcnwyx-gm-encryption,0,0,5,74,0,0,0,54,0,3072,20,1,6,6,63,0,1,0,0,3302,3302
wdtinc-mapbox-vector-tile-java,wdtinc-mapbox-vector-tile-java,0,0,19,86,0,0,0,73,1,4094,82,1,5,12,191,3,12,0,0,4579,4579
wealthfront-thompson-sampling,wealthfront-thompson-sampling,0,0,6,148,0,0,0,95,0,12002,97,3,12,10,179,0,0,0,0,12552,12552
weaverj-erserver,weaverj-erserver,0,0,0,4,0,0,0,30,0,433,1,0,10,7,63,0,0,0,0,548,548
webbynet-protostuff-runtime-proto,webbynet-protostuff-runtime-proto,0,0,4,65,0,0,0,54,0,3246,4,2,11,8,77,0,0,0,0,3471,3471
