project,dynamic,static
digipost-http-client-builder,0,0
digitalfondue-npjt-extra,654,15
digitalheir-java-nfa,508,3
DigitalPebble-TextClassification,13,6
digitalpetri-opc-ua-nodeset-parser,0,0
digital-preservation-utf8-validator,0,0
dikhan-pagerduty-client,3382,9
dingjs-javaagent,0,0
dizitart-jbus,14847,5
dkellenb-formula-evaluator,24,23
dmak-jaxb-xew-plugin,175,2
dmcg-okey-doke,7,1
dmeoli-WS4J,66,1
dmitry-zhuravlev-jooq-postgis-spatial,0,0
dnsjava-dnsjava,79740,23
Doccrazy-keycloak-protocol-cas,0,0
domclick-kafka-logback,0,0
dpaukov-combinatoricslib,1,1
dperezcabrera-jpoker,6,6
d-plaindoux-suitcase,0,0
dpressel-sgdtk,0,0
dreezey-argon2-password-hash-provider,4,1
DReichLab-ADNA-Tools,40,13
Driftt-EmailReplyParser,0,0
drmacro-wordinator,6223,30
dropwizard-dropwizard-elasticsearch,14167,13
dropwizard-dropwizard-health,2214,68
dsc-cmt-cmt-statemachine,100,3
dspinellis-ckjm,0,0
dsyer-spring-security-rsa,0,0
dubasdey-portable-ftp-server,2,2
dubin555-Kafka-Insight,0,0
duguying-pinyin,0,0
duma-repo-manis-study,3,3
dyng-polling,0,0
earcut4j-earcut4j,0,0
eBay-bsonpatch,6,6
eBay-FeedSDK,0,0
eBay-json-comparison,0,0
ECharts-Java-ECharts-Java,69,2
echisan-wbp4j,0,0
ecki-et-otp,0,0
eclipse-jbom,120,2
edagarli-azeroth-event,5,1
edgexfoundry-support-rulesengine,65,4
e-gineering-gitflow-helper-maven-plugin,0,0
eightbitjim-cassette-nibbler,358700,2
EladLeev-KeyToField-smt,0,0
elasql-elasql,6,6
elasticpath-json-unmarshaller,51,2
ElectronicChartCentre-java-vector-tile,80,13
EnterpriseQualityCoding-FizzBuzzEnterpriseEdition,764,3
entrusc-xdata,0,0
eolinker-sql2dsl,0,0
erdtman-java-json-canonicalization,0,0
errai-errai,11834,4
esamson-logback-luhn-mask,0,0
EsmerilProgramming-overtown,70,7
EsotericSoftware-yamlbeans,939,18
ethlo-jsons2xsd,14,14
etsy-arbiter,115,3
etsy-statsd-jvm-profiler,14,4
eurekaclinical-datastore,38,5
eurekaclinical-javautil,6,6
everwatchsolutions-json-data-generator,0,0
exchange-core-orderbook,0,0
EXIficient-exificient-core,23,4
ExpediaGroup-avro-compatibility,0,0
ExpediaGroup-datasqueeze,671674,13
ExpediaGroup-jasvorno,3,3
eyp-serfj,18,9
f0ng-captcha-killer-modified,0,0
f4b6a3-ksuid-creator,0,0
f4b6a3-tsid-creator,0,0
f4b6a3-ulid-creator,0,0
f4b6a3-uuid-creator,0,0
fabric8io-docker-maven-plugin,988,68
facebook-facebook-java-business-sdk,194,7
FAIRdom-RightField,3742182,159
fanchaoo-forum,280,6
fanchaoo-hahu,441,6
fangyidong-json-simple,0,0
fasseg-exp4j,0,0
FasterXML-jackson-annotations,0,0
FasterXML-jackson-benchmarks,4,1
FasterXML-jackson-core,23287,192
FasterXML-java-classmate,0,0
fcrepo-exts-fcrepo-import-export,134,20
fdinoff-neovim-java-client,44,5
FDMediagroep-hamcrest-jsoup,97,1
feiYouLian-jpinyin,0,0
FelixGail-gplaymusic,0,0
fengwenyi-api-result,0,0
ferstl-depgraph-maven-plugin,8708,88
ferstl-pedantic-pom-enforcers,0,0
ferstl-spring-jdbc-oracle,70,5
fhoeben-hsac-fitnesse-plugin,68,4
figo-connect-java-figo,4,2
fiji-AnalyzeSkeleton,0,0
finn-no-retriable-kafka-consumer,14,3
fizzed-jne,6,3
flipkart-incubator-databuilderframework,36456,3
floppylab-markdown2document,11360,3
floverfelt-find-and-replace-maven-plugin,496,7
flowscolors-kube-eventer4j,819,16
Flying9001-pay,0,0
forcedotcom-SiteCrawler,0,0
forcedotcom-wsc,256,14
fordfrog-ruian2pgsql,0,0
forgemo-bittrex-java-client,0,0
ForgeRock-OpenBanking-UK-Datamodel-Java-SDK,86,3
ForteScarlet-Mock.java,0,0
fortitudetec-sonar-ruby-plugin,6216,3
Francesco149-koohii,0,0
francisdb-serviceloader-maven-plugin,0,0
fraunhoferfokus-Fuzzino,303,15
freva-ascii-table,0,0
fsantiag-sonar-clojure,0,0
Fundynamic-dune2themaker4j,8,1
fusion-jena-JaroWinklerSimilarity,22,22
fuzziness-kabeja,4,4
fzakaria-ascii85,0,0
g4dpz-predict4java,0,0
g4s8-cactoos-crypto,8,5
gabrie-allaigre-sonar-gitlab-plugin,1514,12
games647-ColorConsole,0,0
ganskef-LittleProxy-mitm,38,6
GaoLeiQin-SwordOffer,0,0
gaols-reduce-rule,0,0
gatanaso-multiselect-combo-box-flow,0,0
gchq-synthetic-data-generator,16614,2
GeBeater-dozer-jdk8-support,0,0
geftimov-hadoop-map-reduce-patterns,0,0
george-haddad-cardme,10,4
geosolutions-it-geoserver-manager,0,0
geosolutions-it-http-proxy,281,27
gesellix-Nimbus-JOSE-JWT,0,0
getgauge-contrib-gauge-maven-plugin,23408,6
getodk-javarosa,1701,11
ghacupha-book-keeper,0,0
ghaffarian-progex,611,4
gherynos-secrete,7,6
ghosthack-turismo,0,0
Gikkman-Java-Twirk,7,7
giltene-jHiccup,0,0
gini-dropwizard-gelf,1857,61
gisarmory-mbtiles4j,1,1
gitbucket-markedj,0,0
GitHub-Laziji-reverse-regexp,0,0
gkopff-gson-javatime-serialisers,0,0
gkopff-gson-jodatime-serialisers,0,0
glenrobson-iiif-tiler,18,4
gmr-rabbitmq-flume-plugin,0,0
GMWolf-artemis-odb-eeel,0,0
goncalomb-NBTEditor,0,0
gongdaowen-ofdparser,10,3
googleapis-disco-to-proto3-converter,7429,4
googleapis-java-pubsub-group-kafka-connector,5,3
googleapis-java-spanner-jdbc,2920644,82
google-closure-stylesheets,3900,44
GoogleCloudPlatform-app-maven-plugin,0,0
GoogleCloudPlatform-kafka-pubsub-emulator,237,3
google-escapevelocity,1820,7
google-guava-beta-checker,0,0
google-jsontoken,0,0
GoSimpleLLC-jpgAgent,0,0
goxr3plus-java-google-speech-api,0,0
gquintana-metrics-sql,19,5
gradusnikov-jmatio,444,20
grantneale-kafka-lag-based-assignor,0,0
graphhopper-jackson-datatype-jts,0,0
graphstream-gs-algo,248229,14
graphstream-gs-core,214,4
Graylog2-gelfclient,10,3
graylog-labs-syslog4j-graylog2,0,0
greengerong-prerender-java,0,0
gregorriegler-babdev-spring,0,0
gridgain-yardstick,0,0
gridkit-jvm-attach,0,0
grumlimited-geocalc,0,0
Grundlefleck-ASM-NonClassloadingExtensions,8,2
gturri-aXMLRPC,477,36
guoliao502-crypto,21,5
Guo-xm-mybatis-expand,0,0
habernal-confusion-matrix,0,0
hackingwu-Java-Promise,0,0
hageldave-ezFFTW,0,0
hajhouj-fastsico,0,0
hankcs-hanlp-lucene-plugin,750,26
harawata-appdirs,0,0
Harium-etyl,0,0
Harium-keel,0,0
HarvardPL-AbcDatalog,3233,6
hazelcast-hazelcast-azure,2934,38
hazelcast-hazelcast-kubernetes,37644,41
HdrHistogram-HdrHistogram,176,11
HebiRobotics-HebiCam,0,0
HelixNetwork-pendulum,40185,20
hellige-ccs,494,6
hellokaton-webp-io,0,0
hengyunabc-metrics-zabbix,0,0
heremaps-oksse,0,0
Heroicai0101-abtest,0,0
heroku-heroku-jvm-application-deployer,0,0
hertzsprung-hamcrest-json,0,0
hevoio-recoverable-kafka-producer,0,0
hifly81-bank-account-axon,3,1
hivsuper-document-converter,0,0
hkhcoder-vprofile-project,66,2
hlavki-jlemmagen,3431,3
hneemann-digitalCustomComponents,7,5
hneemann-Oscilloscope,0,0
hoereth-springfox-enum-plugin,0,0
hoijui-Jawk,0,0
hoijui-ReZipDoc,48,28
hongbeomi-Programmers,0,0
hongliuliao-thrift-generator,65,4
houbb-heaven,0,0
houbb-nlp-hanzi-similar,24,1
houbb-opencc4j,571875,3
houbb-pinyin,238,1
houbb-segment,29,1
houbb-sensitive-word,0,0
houbb-word-checker,0,0
hsiafan-apk-parser,19,3
hsluv-hsluv-java,0,0
hs-web-hsweb-utils,0,0
huaban-jieba-analysis,1698993,3
huangbowen521-SpringJMSSample,203,11
huangp-entityunit,3792,24
hubert-marteau-MultiChainJavaAPI,1,1
HugoJhonathan-Challenge-Oracle-ONE-conversordemoedas,0,0
huiwang-cracking-the-coding-interview,1,1
huiyang100-excel-formula-engine,0,0
humbertodias-java-data-structures-algorithms,18,4
hummeling-if97,0,0
iamazy-elasticsearch-sql2,72,7
ibit-tech-sql-builder,0,0
IBlogLab-enhance-gateway,19,5
IBM-Cloud-gp-java-client,0,0
iceenongli-iceworkday,0,0
icgw-FCA-Map,493,11
icon-Systemhaus-GmbH-javassist-maven-plugin,2122,8
idealo-logback-redis,4,4
idealo-mongodb-slow-operations-profiler,0,0
ifpe-cti-saudegaranhuns,15,3
igniterealtime-openfire-hazelcast-plugin,19,5
igniterealtime-tinder,7,1
iipc-jwarc,19,8
iipc-openwayback,240,14
iipc-urlcanon,0,0
iipc-webarchive-commons,131883,47
imadcn-idworker,2015,17
imagej-example-script-collection,4215,5
Imaginary11-bionic-utils,0,0
imixs-muluk,0,0
imohsenb-ISO8583-Message-Client-java,0,0
in28minutes-JUnitIn28Minutes,0,0
iNamik-java_text_tables,0,0
indeedeng-mph-table,20194,14
indeedeng-vowpal-wabbit-java,0,0
indexdata-cql-java,0,0
indrabasak-bouncycastle-fips-examples,48,11
InfoSec812-sonar-auth-google,9,2
Ingenico-ePayments-connect-sdk-java,151,21
inreachventures-aws-signing-request-interceptor,20,2
instana-instana-java-opentracing,2,2
InstantWebP2P-tweetnacl-java,0,0
intel-jndn-mock,0,0
internetitem-logback-elasticsearch-appender,0,0
in-the-keyhole-khs-sherpa,0,0
intoolswetrust-jsignpdf,0,0
intuit-graphql-filter-java,51,1
inversoft-jackson5,0,0
inversoft-restify,11,3
io7m-aeron-guide,0,0
iorga-group-debattons,38,10
iost-official-java-sdk,18,2
iotaledger-cliri,43280,14
iquadrat-sbb-train-scheduler,519884,6
iris-edu-stationxml-seed-converter,1,1
ironpinguin-serialized-php-parser,0,0
Isaac315-sql-translator,0,0
iterate-ch-java-openstack-swift,15,1
IvanTrendafilov-Confucius,30,6
ixa-ehu-ixa-pipe-ml,2,2
ixa-ehu-ixa-pipe-tok,4,1
iyzico-iyzipay-java,0,0
j256-simplecsv,1,1
j256-simplemagic,4573,7
j256-two-factor-auth,0,0
jackhallam-weightless-orm,1090,11
jacksonpradolima-csv2bib,0,0
jackyfd-collectionX,10,3
jaeheonshim-ChessBoard,0,0
jagrosh-GiveawayBot,7,7
jagrosh-MusicBot,0,0
jagrosh-Vortex,13,12
jahlborn-jackcess,5987769,39
jahlborn-jackcessencrypt,9877,6
jahlborn-sqlbuilder,81,6
jai-imageio-jai-imageio-core,0,0
jamf-AppConfig-Generator,0,0
JanGorman-jersey-passbook,0,0
jano7-executor,0,0
janssk1-maven-graph-plugin,338,6
jarekratajski-badlam,0,0
JaroslavTulach-heapdump,29,2
JaroslavTulach-SelfGraal,29,7
jarslab-babel-maven-plugin,1920,16
jasminb-jsonapi-converter,429,20
javadelight-delight-fileupload,27,6
javadev-moneytostr,0,0
javadev-sqltojava,704,2
JavadocMD-simplelatlng,3,3
javagl-Common,6,6
javagl-Obj,166,3
javalite-jar-explorer,0,0
javamelody-jira-confluence-javamelody,4,1
JavaMoney-jsr354-ri-bp,212181,10
javamonkey-beetl2.0,180,3
java-sepa-xml-java-sepa-xml,0,0
javastar920905-mdbook,0,0
Javastro-jsofa,0,0
jbossas-jboss-dmr,17,7
jbossas-staxmapper,0,0
jbrundege-taro,220,8
jcabi-jcabi-maven-plugin,0,0
jcabi-jcabi-ssl-maven-plugin,0,0
jcbvm-i18n-editor,1,1
jchambers-fast-uuid,0,0
jchambers-id-obfuscator,0,0
jchambers-jeospatial,0,0
JCVenterInstitute-VIGOR4,238,11
jdbc-observations-datasource-proxy,312,21
jdubois-spring-on-azure,38,10
j-easy-easy-flows,0,0
j-easy-easy-states,0,0
jedicontributors-jedi-kafka-client,140,3
JeffLi1993-java-core-learning-example,0,0
jenkinsci-custom-distribution-service,2185,28
jenkinsci-syslog-java-client,0,0
jenshadlich-S3-Performance-Test,0,0
jericks-geometrycommands,693,17
jericks-geoserver-shell,1134,12
jericks-parboiled-wkt,0,0
JervyShi-nacos-embedded,0,0
jessin20161124-miniDubboOpen,0,0
JetBrains-jetCheck,8806,3
jetlang-remoting,0,0
jetty-project-jetty-eventsource-servlet,40,12
jfaster-mango,15147,36
jfinal-jfinal,0,0
jghoman-haivvreo,992,27
jhalterman-concurrentunit,0,0
jhalterman-lyra,4,2
jhalterman-typetools,0,0
jhunters-jprotobuf,16,6
jiangxincode-SearchEngine,0,0
jillesvangurp-osm2geojson,89933,13
jinahya-bit-io,137657,35
jingpeicomp-id-generator,0,0
jitsi-bccontrib,0,0
jitsi-jitsi-webrtc-vad-wrapper,0,0
jitsi-otr4j,439,16
jjohannes-gradle-module-metadata-maven-plugin,7731,8
jklingsporn-vertx-push-onesignal,2,1
jlawrie-opencsv,4,4
jlinn-quartz-redis-jobstore,1482,18
jmazzitelli-prometheus-scraper,0,0
jmurty-java-xmlbuilder,0,0
jnr-jnr-constants,0,0
jnr-jnr-enxio,38,2
jnr-jnr-ffi,1284,50
jnr-jnr-netdb,225,3
jnr-jnr-process,343,5
jnr-jnr-unixsocket,204,4
JodaOrg-joda-collect,480,30
JodaOrg-joda-time,44,22
JodaOrg-joda-time-hibernate,928,4
JodaOrg-joda-time-i18n,0,0
joel-costigliola-assertj-neo4j,1,1
joelittlejohn-embedmongo-maven-plugin,3382,6
johnlcox-toml4j,10,2
johnlpage-POCDriver,0,0
JohnsProject-JGameEngine,0,0
jonatan-kazmierczak-class-visualizer,0,0
jonathanhds-sql-builder,16,1
jon-hanson-parsecj,0,0
joniles-rtfparserkit,0,0
jonpereiradev-diff-objects,4,1
JoonasVali-jartin,0,0
jordw-heftydb,267516,43
joshgontijo-rest-client,5959,40
jottley-spring-social-salesforce,353,5
jpenren-thymeleaf-ui-dialect,8,1
jprante-elasticsearch-csv,2467,10
jprante-elasticsearch-transport-websocket,14001,18
jprante-log4j2-elasticsearch,212,5
jqassistant-archive-jqa-graphml-plugin,3,1
jqassistant-archive-jqa-javaee6-plugin,96,1
jramoyo-indexed-file-reader,0,0
jriecken-gae-java-mini-profiler,6,1
jrmelsha-keccak,0,0
jruby-jcodings,0,0
jruby-joni,0,0
js-cookie-java-cookie,3,1
jsolve-templ4docx,474,4
jsonld-java-jsonld-java,21072,25
jsunsoftware-http-request,1587,45
jtidy-jtidy,1,1
jtmelton-attack-surface-analyzer,107,8
juandesi-email4j,591,7
julienchastang-charts4j,0,0
julietkilo-CANBabel,36,2
junichi11-netbeans-color-codes-preview,744,19
justauth-JustAuth,0,0
jvirtanen-config-extras,56,12
jvitorr-Jeasier,2,1
jzy3d-jGL,0,0
k55k32-simple-codegen,56,4
kabutz-striped-executor-service,2,1
