name,sha,url
biouno/figshare-java-api,169deb1dde7dc3f2595bbcddd89cbe11ba401409,https://github.com/biouno/figshare-java-api
biouno/pbs-java-api,d9f8a5442bdbb211533d7342296afc2ace56d6b9,https://github.com/biouno/pbs-java-api
bkiers/atlas,ad3911e3bc240af4fc24d6eed55c499073f980f5,https://github.com/bkiers/atlas
blackbeard334/djoom3,64362645420c99ac621b051a678de96883e2a329,https://github.com/blackbeard334/djoom3
blinkfox/mini-table,e6eb1e2f11fd80b0c0a3951cf136637b03f66418,https://github.com/blinkfox/mini-table
bluemix/NumberToArabicWords,c480ff2b73fb8abba1ad40c50c7d0d00185a8eb4,https://github.com/bluemix/NumberToArabicWords
bmwcarit/hmm-lib,18f483637138a273406ea397c79ede4999803855,https://github.com/bmwcarit/hmm-lib
bonnyfone/vectalign,63806ac71ebd5d9472bf97893b3ec6c5741b5735,https://github.com/bonnyfone/vectalign
bookshelfdave/etp,8f48539f90e2ce59505b6210632fb3b6976b3174,https://github.com/bookshelfdave/etp
bouncestorage/chaos-http-proxy,1a11b3fd2eb413f9069a32921407681d7a97182e,https://github.com/bouncestorage/chaos-http-proxy
bpodgursky/jbool_expressions,4210c9fc9b7ec81d42c6c32ecf24df66151055dc,https://github.com/bpodgursky/jbool_expressions
bpsm/edn-java,7149c93d497edbd604db68d3878c163ccb3663b6,https://github.com/bpsm/edn-java
brutusin/commons,b483f5bc59610b25794dd8112425c0ce910c886e,https://github.com/brutusin/commons
brutusin/instrumentation,f1c80c2524a18e9e2080c28748a0f1d5d77d4be8,https://github.com/brutusin/instrumentation
bserdar/jcliff,b657e5e67ce8b01df9196bf92fcf7ede93275443,https://github.com/bserdar/jcliff
btrekkie/dynamic-connectivity,8b92a92caa9ddffd899313f9bd87b003cc927b3a,https://github.com/btrekkie/dynamic-connectivity
bubuntux/poker-engine,62771f7d9c6f4d1e8790d9a8a0ca6e938600e662,https://github.com/bubuntux/poker-engine
buddy-works/simple-java-project,2c8575aebc79825a20fb95e180b4b932c40283bf,https://github.com/buddy-works/simple-java-project
budhash/cliche,8bf46efac9aa8ede5193cfcc3c24d44b25bc9aad,https://github.com/budhash/cliche
c0ny1/captcha-killer,8748eb5c0f808e986ae2300f9f37bff29d5f464a,https://github.com/c0ny1/captcha-killer
