2captcha/2captcha-java,35,24,FALSE
3redronin/mu-server,45,17,FALSE
520github/fw-parallel-task,13,2,FALSE
520github/fw-perf-test,11,0,FALSE
520github/fw-statemachine,13,1,FALSE
6tail/lunar-java,607,137,FALSE
6tail/tyme4j,6,1,FALSE
abahgat/suffixtree,117,61,FALSE
AccelerationNet/access2csv,86,24,FALSE
acegi/xml-format-maven-plugin,16,13,FALSE
actiontech/dble,1074,324,FALSE
AdamBien/jwtenizr,47,14,FALSE
AdamBien/xplr,20,2,FALSE
addthis/stream-lib,2255,592,FALSE
adobe/commerce-cif-magento-graphql,21,10,FALSE
adobe/htl-tck,21,14,FALSE
aehrc/ontology-core,6,8,FALSE
aelstad/keccakj,18,15,FALSE
aerogear/aerogear-unifiedpush-java-client,5,26,FALSE
afranken/jmeter-analysis-maven-plugin,58,40,FALSE
Afrozaar/wp-api-v2-client-java,82,50,FALSE
afrunt/jach,43,35,FALSE
agarciadom/xeger,89,29,FALSE
agentgt/jatl,41,7,FALSE
agido-malter/logback-elasticsearch-appender,16,6,FALSE
agiledon/payroll-ddd,112,67,FALSE
AgNO3/jcifs-ng,296,107,FALSE
agoncal/agoncal-application-petstore-ee7,193,338,FALSE
agrison/redux4j,38,8,FALSE
aidhog/blabel,18,4,FALSE
ainslec/picocog,87,19,FALSE
ajantis/java-crdt,96,19,FALSE
akamai/NetStorageKit-Java,18,28,FALSE
AlanDelip/SpringBoot-Template,20,11,FALSE
alanhay/html-exporter,33,35,FALSE
albfernandez/itext2,30,22,FALSE
albfernandez/javadbf,215,132,FALSE
aled/jsi,240,162,FALSE
aleksandr-m/gitflow-maven-plugin,480,178,FALSE
alessio29/savagebot,47,9,FALSE
alex2chen/j-statemachine,14,7,FALSE
alexcojocaru/elasticsearch-maven-plugin,89,47,FALSE
alexnederlof/Jasper-report-maven-plugin,134,83,FALSE
AlexP11223/JavaSpringMvcBlog,85,50,FALSE
alexr007/ultimate8,28,8,FALSE
alfasoftware/soapstone,10,4,FALSE
alibaba-rsocket-broker/rsocket-broker-gateway-mqtt,14,4,FALSE
alipay/ams-java-sdk,13,21,FALSE
aliyun/aliyun-log-flink-connector,58,21,FALSE
aliyun/aliyun-log-logback-appender,175,62,FALSE
almondtools/stringsearchalgorithms,42,4,FALSE
almson/almson-refcount,17,2,FALSE
alt236/apkdetails,19,5,FALSE
amazon-archives/amazon-kinesis-connectors,327,199,FALSE
amazon-archives/aws-dynamodb-stream-eventbridge-fanout,63,12,FALSE
amazon-archives/aws-request-signing-apache-interceptor,66,70,FALSE
amazon-archives/aws-ssm-java-caching-client,13,6,FALSE
amazon-archives/dynamodb-key-diagnostics-library,16,7,FALSE
amazon-archives/pocket-etl,48,19,FALSE
amazon-ion/ion-docs,22,25,FALSE
amihaiemil/docker-java-api,266,54,FALSE
amihaiemil/zold-java-client,13,5,FALSE
amzn/amazon-pay-api-sdk-java,28,19,FALSE
andree-surya/moji4j,32,8,FALSE
andylamp/BPlusTree,152,49,FALSE
Ant-Grand/Grand,39,11,FALSE
antherd/sm-crypto,185,61,FALSE
Antibrumm/jackson-antpathfilter,64,17,FALSE
antlr/antlrworks,95,40,FALSE
antlr/stringtemplate3,15,13,FALSE
anubhavshukla/properties-to-yaml-converter,13,8,FALSE
apache/commons-cli,319,183,FALSE
apache/commons-codec,436,232,FALSE
