project,collection status,# traces,# unique traces,# traces based on unique file,# unique traces based on unique file,# events,# unique events,duplicated traces,duplicated events,(without raw) # traces based on unique file,(without raw) # unique traces based on unique file,(without raw) # events,(without raw) # unique events,(without raw) duplicated traces,(without raw) duplicated events
kklisura-props-to-constants-generator,OK,117,48,117,48,376,182,69,194,113,45,299,129,68,170
jchambers-fast-uuid,OK,11,8,11,8,23,17,3,6,11,8,23,17,3,6
Twasi-twasi-core,OK,89,26,89,26,229,82,63,147,83,21,189,53,62,136
tobyweston-Refactoring-Chapter-1,OK,142,30,142,30,613,139,112,474,142,30,613,139,112,474
rjwut-ian,OK,6476,710,6476,710,50637,21150,5766,29487,6439,699,26781,8810,5740,17971
devopshydclub-vprofile-project,OK,22702,980,22702,980,93026,18556,21722,74470,22627,960,80595,11240,21667,69355
krullert-universe,OK,10566,423,10566,423,81984,44019,10143,37965,10544,406,54222,18462,10138,35760
JodaOrg-joda-time,OK,23356,1337,23356,1337,170398,38414,22019,131984,23339,1322,131364,12551,22017,118813
tbuktu-ntru,OK,1245,153,1245,153,6135688,6021892,1092,113796,1242,150,152447,38651,1092,113796
elasql-elasql,OK,47,31,47,31,142,121,16,21,43,28,124,107,15,17
mokiat-java-data-front,OK,24312,1121,24312,1121,87409,8812,23191,78597,24300,1112,84590,6852,23188,77738
grumlimited-geocalc,OK,46,31,46,31,134,88,15,46,40,26,103,62,14,41
rponte-pin-decrypter,OK,52,8,52,8,132,22,44,110,50,6,125,15,44,110
apache-maven-ear-plugin,OK,14,5,14,5,50,24,9,26,12,4,14,6,8,8
jnr-jnr-process,OK,17038,824,17038,824,127249,64980,16214,62269,16917,812,124103,63171,16105,60932
sabomichal-liquibase-mssql,OK,23493,339,23493,339,172469,15537,23154,156932,23484,332,167521,11149,23152,156372
ssedano-jump-consistent-hash,OK,10,8,10,8,23,21,2,2,10,8,23,21,2,2
corentin59-ArtNetStack,OK,8,2,8,2,28,7,6,21,8,2,28,7,6,21
rponte-dbunitmanager,OK,32,18,32,18,121,68,14,53,28,15,71,41,13,30
iamazy-elasticsearch-sql2,OK,8471,918,8471,918,50510,14826,7553,35684,8448,901,43641,10340,7547,33301
ooxi-jdatauri,OK,107,31,107,31,868,385,76,483,102,27,561,188,75,373
konsolas-ConditionalCommands,OK,13,9,13,9,70,46,4,24,12,8,68,44,4,24
autermann-yaml,OK,20746,543,20746,543,139079,44198,20203,94881,20736,534,81712,9076,20202,72636
triologygmbh-reCAPTCHA-V2-java,OK,17665,1883,17665,1883,192641,86691,15782,105950,17513,1863,163644,71237,15650,92407
SValentyn-Payment-Management-System,OK,25,19,25,19,92,64,6,28,20,15,45,30,5,15
assertthat-selenium-shutterbug,OK,6,6,6,6,24,24,0,0,5,5,23,23,0,0
meteoinfo-wContour,OK,2,2,2,2,4,4,0,0,2,2,4,4,0,0
tchristofferson-Config-Updater,OK,136868,3847,136868,3847,9751204,1498375,133021,8252829,136864,3844,9697017,1463773,133020,8233244
Maschell-JNUSLib,OK,14979,52,14979,52,83641,5763,14927,77878,14974,48,77961,178,14926,77783
mattsheppard-gethostname4j,OK,3,3,3,3,6,6,0,0,2,2,5,5,0,0
Harium-etyl,OK,11,10,11,10,47,35,1,12,8,8,22,22,0,0
patrickfav-uber-adb-tools,OK,10782,396,10784,397,71636,6494,10387,65142,10776,390,65844,3148,10386,62696
sambatriste-sql-formatter,OK,8,8,8,8,190,190,0,0,7,7,161,161,0,0
SonarSource-sonar-auth-github,OK,5064,411,5064,411,50411,28888,4653,21523,5053,401,47126,27107,4652,20019
tv2norge-collab-java-serf-client,OK,19,10,19,10,37,16,9,21,16,7,31,10,9,21
everwatchsolutions-json-data-generator,OK,12002,14,12002,14,54010,64,11988,53946,12000,12,54000,54,11988,53946
dibbhatt-kafka-spark-consumer,OK,127,52,127,52,430,193,75,237,121,47,303,113,74,190
usingsky-KoreanLunarCalendar,OK,6,6,6,6,67,67,0,0,6,6,67,67,0,0
STEMLab-JIneditor,OK,228,160,228,160,758,563,68,195,220,153,648,489,67,159
skayvanfar-cheetah,OK,15,15,15,15,43,43,0,0,14,14,41,41,0,0
denniskniep-GQLRaider,OK,6841,609,6841,609,65411,39365,6232,26046,6830,604,64346,38647,6226,25699
heroku-heroku-jvm-application-deployer,OK,7,7,7,7,53,53,0,0,7,7,53,53,0,0
davidmoten-rtree-multi,OK,27793725,38356,27793725,38356,255230558,8494208,27755369,246736350,27793710,38343,254160845,7424956,27755367,246735889
scouter-contrib-scouter-plugin-server-alert-slack,OK,36,14,36,14,110,33,22,77,33,11,105,28,22,77
antlr-antlrworks,OK,5099,929,5099,929,184751,121080,4170,63671,5094,925,181650,119091,4169,62559
uia4j-uia-sim,OK,12998,932,13061,945,78401,26694,12116,51707,13048,934,75379,25132,12114,50247
javadev-moneytostr,OK,4579,169,4579,169,61157,9293,4410,51864,4574,165,46272,1519,4409,44753
microsoft-AppCenter-Test-Appium-Java-Extensions,OK,20184,394,20184,394,106003,26659,19790,79344,20155,378,90554,16217,19777,74337
davidmoten-guava-mini,OK,27,22,27,22,88,70,5,18,23,19,68,59,4,9
biouno-pbs-java-api,OK,39,26,39,26,61,46,13,15,36,24,54,42,12,12
forcedotcom-SiteCrawler,OK,38,12,38,12,115,46,26,69,37,11,112,43,26,69
RayDeCampo-java-xirr,OK,14993,849,14993,849,63254,6785,14144,56469,14982,839,61648,5676,14143,55972
lucaspouzac-contiperf,OK,18116,235,18116,235,54943,1735,17881,53208,18109,229,54899,1698,17880,53201
bgandon-juli-to-slf4j,OK,14,13,14,13,14,13,1,1,11,10,11,10,1,1
Yubico-yubico-j,OK,4,4,4,4,19,19,0,0,3,3,6,6,0,0
mybatis-mapper-provider,OK,13339,879,13341,880,53145,17113,12461,36032,13326,866,46085,12775,12460,33310
ghosthack-turismo,OK,5,4,5,4,83,46,1,37,2,2,2,2,0,0
linked-solutions-jarql,OK,9861,1647,9861,1647,103258,47202,8214,56056,9848,1635,96429,42143,8213,54286
MottoX-BeanUtils,OK,64,30,64,30,468,286,34,182,61,28,304,203,33,101
macacajs-wd.java,OK,11061,1660,11061,1660,152498,81758,9401,70740,10950,1644,126466,67968,9306,58498
shred-commons-xml,OK,26467,929,26467,929,144173,10155,25538,134018,26457,920,141331,8209,25537,133122
leonliao-wechat-app-pay-java-sdk,OK,10838,1206,10840,1207,93357,33490,9633,59867,10763,1191,85541,29450,9572,56091
jdbc-observations-datasource-proxy,OK,1824354,5145,1824354,5145,6809260,711610,1819209,6097650,1824159,5106,6565426,514530,1819053,6050896
asaflevy-SelenuimExtend,OK,54,9,54,9,133,20,45,113,51,7,130,18,44,112
ning-compress,OK,7591,71,7591,71,5198762,4854056,7520,344706,7587,67,4879893,4535187,7520,344706
OrderLab-OKLib,OK,271087,4310,271087,4310,6054652,3934687,266777,2119965,271079,4303,5879727,3842247,266776,2037480
ohioit-rundeck-http-plugin,OK,863888,3582,863888,3582,8103239,830220,860306,7273019,859704,3562,7550622,281767,856142,7268855
mwanji-toml4j,OK,18149,1263,18151,1264,96551,25069,16887,71482,18143,1257,91023,22250,16886,68773
520github-fw-parallel-task,OK,37,8,37,8,88,21,29,67,34,6,78,15,28,63
GeBeater-dozer-jdk8-support,OK,11,11,11,11,11,11,0,0,11,11,11,11,0,0
neilswainston-FragGenie,OK,13414,650,13414,650,112550,40025,12764,72525,13403,641,62704,11845,12762,50859
myui-btree4j,OK,40366156,1527,40366156,1527,288592552,100637757,40364629,187954795,40366146,1518,177186025,1518945,40364628,175667080
barrer-translate-online,OK,9786,452,9786,452,171844,98806,9334,73038,9780,447,166979,95007,9333,71972
520github-fw-statemachine,OK,15,10,15,10,117,70,5,47,12,8,102,60,4,42
bubuntux-poker-engine,OK,41,22,41,22,127,90,19,37,39,20,69,32,19,37
rombert-desktop-maven-notifier,OK,12,12,12,12,85,85,0,0,11,11,84,84,0,0
tcurdt-hadoop-lzo-java,OK,23,8,23,8,57,24,15,33,21,6,50,17,15,33
ashwanthkumar-slack-java-webhook,OK,42,27,42,27,122,98,15,24,42,27,122,98,15,24
dev-aspectj-aspectj-maven-plugin,OK,657909,42349,657909,42349,438782939,434981891,615560,3801048,657898,42339,438447279,434751604,615559,3695675
digitalfondue-npjt-extra,OK,25324,1034,25348,1042,133850,22154,24306,111696,25176,1026,120946,13796,24150,107150
teaey-apns4j,OK,56,20,56,20,388,271,36,117,54,19,364,259,35,105
thymeleaf-thymeleaf-itutorial,OK,5898,3994,5898,3994,6531870,5643426,1904,888444,5862,3978,6528865,5641421,1884,887444
tfredrich-DateAdapterJ,OK,24,4,24,4,60,10,20,50,24,4,60,10,20,50
w3blogfr-zebra-zpl,OK,76,40,76,40,435,242,36,193,75,39,430,237,36,193
Ingenico-ePayments-connect-sdk-java,OK,8923,992,8924,992,179331,90566,7932,88765,8905,976,150551,75633,7929,74918
vidstige-jadb,OK,25883,1098,25883,1098,83708,7689,24785,76019,25867,1083,81235,5951,24784,75284
cloudiator-visor,OK,2,1,2,1,2,1,1,1,2,1,2,1,1,1
odiszapc-nginx-java-parser,OK,34874,1070,34874,1070,194273,24651,33804,169622,34869,1066,187411,20238,33803,167173
jonatan-kazmierczak-class-visualizer,OK,22,10,22,10,79,38,12,41,20,8,74,33,12,41
2captcha-2captcha-java,OK,11348,972,11348,972,54672,15309,10376,39363,11336,961,38948,4972,10375,33976
jon-hanson-parsecj,OK,1078,90,1078,90,54167,50539,988,3628,1072,85,54092,50491,987,3601
pawandubey-griffin,OK,9,9,9,9,209,209,0,0,9,9,209,209,0,0
amazon-archives-aws-request-signing-apache-interceptor,OK,51,26,51,26,164,88,25,76,41,20,117,58,21,59
reactiverse-vertx-maven-plugin,OK,361475,6156,361477,6157,5266684,4106026,355320,1160658,361432,6128,5201532,4061295,355304,1140237
xnnyygn-dynamic-log-level,OK,12,8,12,8,20,15,4,5,8,5,9,6,3,3
geftimov-hadoop-map-reduce-patterns,OK,13,12,13,12,813,427,1,386,9,9,36,36,0,0
szagriichuk-search-api,OK,19729,66,19729,66,50197,2773,19663,47424,19724,62,50042,2682,19662,47360
jruby-jcodings,OK,119,38,119,38,870,677,81,193,117,36,818,625,81,193
forcedotcom-wsc,OK,575736,10803,575736,10803,230524842,68756904,564933,161767938,575691,10789,230504723,68741283,564902,161763440
SimpleFinance-kafka-dropwizard-reporter,OK,109,59,109,59,390,267,50,123,104,55,358,246,49,112
mike706574-java-map-support,OK,45,12,45,12,183,45,33,138,41,9,141,19,32,122
RestComm-jasn,OK,224,33,224,33,953,245,191,708,222,31,826,118,191,708
KevinStern-software-and-algorithms,OK,10221,714,10221,714,170572,60834,9507,109738,10208,703,165170,55594,9505,109576
ToryZhou-design-pattern,OK,153,93,153,93,502,287,60,215,150,91,464,266,59,198
sedran-moment4j,OK,27,19,27,19,118,71,8,47,26,18,116,69,8,47
jfinal-jfinal,OK,24,21,24,21,350,299,3,51,19,17,46,44,2,2
liangbaika-validate,OK,5,5,5,5,28,28,0,0,4,4,27,27,0,0
lamarios-sherdog-parser,OK,399302,4743,399302,4743,7789869,4152911,394559,3636958,399294,4736,7440108,3882556,394558,3557552
random-maven-profile-activator-extension,OK,119,57,119,57,879,577,62,302,113,52,394,172,61,222
woodpecker-appstore-yonyou-nc-decrypter,OK,4,4,4,4,10,10,0,0,2,2,7,7,0,0
maping-java-maven-calculator-web-app,OK,2,2,2,2,5,5,0,0,2,2,5,5,0,0
agido-malter-logback-elasticsearch-appender,OK,108,25,115,24,397,160,91,237,100,17,162,40,83,122
str4d-ed25519-java,OK,15830,55,15830,55,63011,24022,15775,38989,15825,51,60774,21796,15774,38978
shibing624-crf-seg,OK,4091,726,4160,735,63350,40903,3425,22447,4147,724,48694,31756,3423,16938
azam-ulidj,OK,615,146,615,146,166555,151027,469,15528,610,143,145938,130630,467,15308
xiangbohua-scales-bridge,OK,5,4,5,4,28,20,1,8,0,0,0,0,0,0
matthewhorridge-mdock,OK,171,28,171,28,762,134,143,628,168,26,719,110,142,609
iceenongli-iceworkday,OK,2,1,2,1,68,34,1,34,0,0,0,0,0,0
internetitem-logback-elasticsearch-appender,OK,47,18,47,18,226,106,29,120,33,12,41,13,21,28
traiana-kafka-spiffe-principal,OK,16559,833,16559,833,93361,8080,15726,85281,16550,825,91356,6698,15725,84658
fengwenyi-api-result,OK,18,17,18,17,95,82,1,13,15,15,64,64,0,0
ocpsoft-common,OK,213,49,213,49,490,164,164,326,211,47,465,139,164,326
toolbox4minecraft-amidst,OK,376595,776,376595,776,5055527,273914,375819,4781613,376586,769,4876867,158100,375817,4718767
nurkiewicz-typeof,OK,8,4,8,4,8,4,4,4,4,2,4,2,2,2
tencentyun-cos-java-sdk-v4,OK,23,17,23,17,105,90,6,15,16,11,64,59,5,5
netarchivesuite-heritrix3-wrapper,OK,35,21,35,21,112,71,14,41,32,18,86,45,14,41
DavidHerBet-java-codility,OK,329,115,329,115,50983,50375,214,608,328,114,50952,50344,214,608
goxr3plus-java-google-speech-api,OK,59,31,59,31,560,464,28,96,58,30,559,463,28,96
shipilev-jdk-backports-monitor,OK,24,15,24,15,113,70,9,43,24,15,113,70,9,43
apache-maven-verifier-plugin,OK,11,4,11,4,44,34,7,10,10,3,16,6,7,10
AquaticInformatics-aquarius-sdk-java,OK,11180,362,11180,362,107901,9818,10818,98083,11175,358,106981,9114,10817,97867
simplymequeeny-json-string-schema-generator,OK,9084,379,9084,379,56423,7622,8705,48801,9078,374,49676,3795,8704,45881
damnhandy-Handy-URI-Templates,OK,16158,795,16158,795,66498,9539,15363,56959,16130,784,62702,7395,15346,55307
antherd-sm-crypto,OK,73,72,73,72,291,272,1,19,70,70,251,251,0,0
apache-maven-help-plugin,OK,915709,27814,915709,27814,197381504,194009964,887895,3371540,915677,27792,197164229,193849621,887885,3314608
agiledon-payroll-ddd,OK,23310,886,23310,886,85248,6802,22424,78446,23294,877,82241,4699,22417,77542
ForteScarlet-Mock.java,OK,6,4,6,4,52,34,2,18,6,4,52,34,2,18
Xchuanshuo-LiteNESEmulator,OK,136,55,136,55,415,201,81,214,130,50,385,179,80,206
JeffLi1993-java-core-learning-example,OK,29,7,29,7,105,40,22,65,25,4,49,7,21,42
zalando-stups-java-sproc-wrapper,OK,31417,1348,31417,1348,97792,12992,30069,84800,31405,1337,95496,11502,30068,83994
javamelody-jira-confluence-javamelody,OK,16259,639,16259,639,98981,8635,15620,90346,16227,629,96912,7421,15598,89491
dmitry-zhuravlev-jooq-postgis-spatial,OK,3,2,3,2,24,21,1,3,0,0,0,0,0,0
aliyun-aliyun-log-logback-appender,OK,2510,543,2519,548,113879,81179,1971,32700,2507,538,96472,72434,1969,24038
klakegg-pkix-ocsp,OK,15791,971,15791,971,119943,63861,14820,56082,15775,958,100380,53213,14817,47167
mlaccetti-rocksaw,OK,13,8,13,9,23,15,4,8,10,6,18,10,4,8
codepine-testrail-api-java-client,OK,19270,1555,19271,1554,195075,39085,17717,155990,18970,1544,175915,29501,17426,146414
blinkfox-zealot,OK,11434,832,11434,832,101723,21541,10602,80182,11422,821,99212,19936,10601,79276
f4b6a3-ksuid-creator,OK,160414,21,160414,21,5467637,4747239,160393,720398,160410,17,720434,36,160393,720398
mahjong4j-mahjong4j,OK,22216,732,22216,732,103361,9666,21484,93695,22213,729,98012,4317,21484,93695
digitalpetri-opc-ua-nodeset-parser,OK,11454,128,11454,128,72202,25463,11326,46739,11448,123,35347,6559,11325,28788
chriswhocodes-FreeLogJ,OK,95,28,95,28,375,117,67,258,94,27,374,116,67,258
Col-E-Simple-Memory-Compiler,OK,36,18,36,18,86,42,18,44,33,16,77,37,17,40
purecloudlabs-elasticsearch-lambda,OK,7990,1026,7990,1026,59546,26741,6964,32805,7973,1010,49633,21159,6963,28474
edagarli-azeroth-event,OK,6327,996,6366,999,71793,32151,5367,39642,6324,986,68527,29944,5338,38583
pingcap-tidb-loadbalance,OK,67,26,67,26,468,334,41,134,54,19,127,45,35,82
ironpinguin-serialized-php-parser,OK,72,29,72,29,678,316,43,362,69,27,409,181,42,228
Payment-Components-demo-sepa,OK,12,9,12,9,30,23,3,7,9,7,19,14,2,5
demidenko05-beigesoft-webstore,OK,46,31,46,31,127,83,15,44,45,30,126,82,15,44
craigwblake-redline,OK,15609,1042,15609,1042,136009,50192,14567,85817,15594,1029,112705,35962,14565,76743
jaeheonshim-ChessBoard,OK,36,11,36,11,612,584,25,28,35,10,611,583,25,28
qqilihq-property-editor,OK,49,19,49,19,168,68,30,100,47,18,166,67,29,99
etsy-arbiter,OK,4699,662,4699,662,58014,23408,4037,34606,4672,650,53260,20618,4022,32642
geosolutions-it-geoserver-manager,OK,13469,651,13469,651,58162,9424,12818,48738,13461,644,56020,7402,12817,48618
ceridwen-com-ceridwen-standard-interchange-protocol-library,OK,21434,363,22020,364,89832,6953,21656,82879,22006,351,82706,2443,21655,80263
Atrox-haikunatorjava,OK,52,12,52,12,235,56,40,179,51,11,234,55,40,179
msojocs-OmenChallengeHelper,OK,7,7,7,7,205,205,0,0,6,6,204,204,0,0
glenrobson-iiif-tiler,OK,56200,688,56274,697,106148,11302,55577,94846,56261,686,103441,9911,55575,93530
jbossas-staxmapper,OK,60,38,60,38,379,278,22,101,58,36,334,233,22,101
feiYouLian-jpinyin,OK,1710,52,1710,52,155996,87730,1658,68266,1705,48,58805,39095,1657,19710
houbb-nlp-hanzi-similar,OK,771952,301,771952,301,6741903,2507395,771651,4234508,771949,299,5763657,1996779,771650,3766878
javastar920905-mdbook,OK,250,18,250,18,381,134,232,247,249,17,373,126,232,247
hkhcoder-vprofile-project,OK,22702,980,22702,980,93031,18561,21722,74470,22627,960,80600,11245,21667,69355
aurbroszniowski-os-platform-finder,OK,12,9,12,9,117,72,3,45,10,8,45,36,2,9
BestCreater-SSM,OK,8,6,8,6,23,21,2,2,8,6,23,21,2,2
juandesi-email4j,OK,13293,507,13295,508,61319,13311,12787,48008,13281,498,60288,12492,12783,47796
heremaps-oksse,OK,12,11,12,11,270,148,1,122,8,8,22,22,0,0
KosherJava-zmanim,OK,27,12,27,12,663,324,15,339,24,10,94,39,14,55
etsy-statsd-jvm-profiler,OK,2747,511,2747,511,78245,70274,2236,7971,2720,491,60416,52480,2229,7936
olcaytaner-201-DataStructures-Java,OK,35,9,35,9,114,33,26,81,35,9,114,33,26,81
almson-almson-refcount,OK,5000233,27,5000233,27,5000314,99,5000206,5000215,5000230,24,5000284,69,5000206,5000215
rnorth-duct-tape,OK,136612,90,136612,90,141398,309,136522,141089,136607,86,141319,239,136521,141080
amihaiemil-zold-java-client,OK,280,165,280,165,70282,61268,115,9014,272,158,52871,52537,114,334
rockt-SETH,OK,1024000,449,1024000,449,6148800,546577,1023551,5602223,1023993,443,5740637,263273,1023550,5477364
shreyasht-java8-validator,OK,23,9,23,9,65,16,14,49,22,8,64,15,14,49
lizard-framework-lizard-spi,OK,73,8,73,8,272,54,65,218,70,6,240,23,64,217
yanceyZhang-wx-chatbot,OK,1286,358,1286,358,78349,65640,928,12709,1267,343,58899,55781,924,3118
vinhkhuc-lbfgs4j,OK,2,2,2,2,31,31,0,0,0,0,0,0,0,0
guoliao502-crypto,OK,17705,890,17763,900,120270,53094,16863,67176,17749,888,88019,31812,16861,56207
zhanyeye-DesSim,OK,4677,831,4748,837,100970,57121,3911,43849,4723,823,68561,24737,3900,43824
couchbaselabs-couchbase-capi-server,OK,35850,1135,35850,1135,184071,33391,34715,150680,35762,1117,166614,16004,34645,150610
jenkinsci-syslog-java-client,OK,64,43,66,45,512,351,21,161,60,40,322,250,20,72
g4s8-cactoos-crypto,OK,25,10,25,10,38,22,15,16,24,9,32,16,15,16
bestyize-DoubanAPI,OK,88,46,88,46,417,228,42,189,84,43,392,214,41,178
yfpeng-pengyifan-leetcode,OK,4810,323,4810,323,55235,23979,4487,31256,4800,316,38981,11351,4484,27630
dingjs-javaagent,OK,41,22,41,22,103,66,19,37,38,20,73,46,18,27
ChannelApe-shopify-sdk,OK,841758,4616,841759,4615,5533066,572841,837144,4960225,840732,4592,5028021,189811,836140,4838210
earcut4j-earcut4j,OK,10,8,10,8,72,54,2,18,10,8,72,54,2,18
c0ny1-captcha-killer,OK,162,61,162,61,461,221,101,240,158,58,415,188,100,227
jprante-elasticsearch-transport-websocket,OK,275897,6469,275915,6469,3362306,721393,269446,2640913,275695,6429,3239708,599082,269266,2640626
awslabs-amazon-sns-java-extended-client-lib,OK,667667,1533,667669,1535,2395309,77920,666134,2317389,667642,1517,2352706,50913,666125,2301793
bohnman-squiggly,OK,280697,1582,280697,1582,1047023,58971,279115,988052,280579,1571,997493,26562,279008,970931
BingAds-BingAds-Java-SDK,OK,422752,1991,422752,1991,3223417,192231,420761,3031186,421561,1981,3098276,125964,419580,2972312
tcurdt-jdeb,OK,319780,2571,319780,2571,1810543,398146,317209,1412397,318855,2551,1385634,97807,316304,1287827
datastax-native-protocol,OK,153772,3191,153772,3191,4459244,1542427,150581,2916817,153757,3177,4403575,1496614,150580,2906961
vlingo-xoom-auth,OK,186517,1646,186517,1646,3846858,3321123,184871,525735,186457,1632,564598,39000,184825,525598
BellaDati-belladati-sdk-java,OK,201974,2086,201974,2086,1371817,347791,199888,1024026,201404,2064,1111677,91718,199340,1019959
arey-spring-batch-toolkit,OK,600453,15158,600625,15207,3892310,1234693,585418,2657617,599632,15155,3557172,901147,584477,2656025
RagedUnicorn-github-release-maven-plugin,OK,39166,2959,39166,2959,2112796,2004250,36207,108546,39156,2950,2098464,1993564,36206,104900
neo-search-multiple-string-searcher,OK,33461,306,33461,306,2171567,2082946,33155,88621,33453,300,2170492,2082334,33153,88158
apache-maven-clean-plugin,OK,117613,956,117613,956,1120656,242801,116657,877855,117602,946,1008318,164125,116656,844193
huangp-entityunit,OK,461307,10751,461307,10751,3386009,536514,450556,2849495,460785,10714,3196729,415303,450071,2781426
apache-dubbo-hessian-lite,OK,304405,267,304405,267,4461090,454579,304138,4006511,304398,260,4156918,150407,304138,4006511
jtidy-jtidy,OK,61894,2393,61894,2393,1626330,1024557,59501,601773,61884,2384,1510250,946959,59500,563291
webjars-webjars-locator,OK,181498,1258,181498,1258,2049015,203013,180240,1846002,181403,1245,2038008,192238,180158,1845770
casbin-jcasbin,OK,259619,6306,259619,6306,1558060,384387,253313,1173673,257544,6283,1406806,303239,251261,1103567
reecetech-bamboo-specs,OK,188269,6932,188434,6984,2035564,839325,181450,1196239,188085,6958,1885547,723347,181127,1162200
gherynos-secrete,OK,11416,2094,11418,2096,1840048,1805709,9322,34339,11406,2086,67689,37204,9320,30485
victor-porcar-delayed-batch-executor,OK,201489,703,201489,703,1408726,359102,200786,1049624,201481,695,1202779,153155,200786,1049624
EnterpriseQualityCoding-FizzBuzzEnterpriseEdition,OK,490623,859,490623,859,4939886,179973,489764,4759913,479648,849,4693339,22791,478799,4670548
valfirst-jbehave-junit-runner,OK,752166,4677,752166,4677,3366447,314489,747489,3051958,752007,4635,3288057,263981,747372,3024076
amazon-archives-dynamodb-key-diagnostics-library,OK,369229,2459,369229,2459,1977565,140903,366770,1836662,369189,2442,1927906,111790,366747,1816116
binance-binance-futures-connector-java,OK,47505,2669,47505,2669,1534145,1040096,44836,494049,47484,2650,1493888,1000859,44834,493029
psjava-psjava,OK,49618,1241,49618,1241,3791886,2032606,48377,1759280,49609,1234,790156,31523,48375,758633
io7m-aeron-guide,OK,786133,42,786133,42,1965418,167,786091,1965251,786128,38,1965384,136,786090,1965248
Mastercard-client-encryption-java,OK,375740,8606,375740,8606,2719557,1252177,367134,1467380,375710,8588,2648171,1196889,367122,1451282
tauris-io-expression,OK,707609,1352,707609,1352,3188364,223217,706257,2965147,707602,1345,3012889,47742,706257,2965147
apache-maven-source-plugin,OK,204622,1016,204622,1016,2217671,371351,203606,1846320,204612,1007,2047207,252653,203605,1794554
smartsheet-platform-smartsheet-java-sdk,OK,410829,4852,410829,4852,1952393,288852,405977,1663541,410605,4832,1857616,233617,405773,1623999
twitter-joauth,OK,679317,306,679317,306,2210518,131272,679011,2079246,679309,299,2088437,9226,679010,2079211
orphan-oss-launch4j-maven-plugin,OK,389768,5382,389768,5382,3702070,2477318,384386,1224752,389747,5362,3657071,2446934,384385,1210137
AshisRaj-cucelastic-maven-plugin,OK,178209,2574,178209,2574,1292595,280898,175635,1011697,178177,2555,1236571,229834,175622,1006737
riversun-bigdoc,OK,1992,104,1992,104,1067197,19438,1888,1047759,1990,102,1067126,19367,1888,1047759
uber-common-jvm-profiler,OK,2589,534,2589,534,1627613,1612881,2055,14732,2565,520,1621455,1608100,2045,13355
parship-roperty,OK,288669,2368,288669,2368,1070936,52752,286301,1018184,288613,2342,1049054,38194,286271,1010860
NetherlandsForensicInstitute-kafka-spout,OK,893231,4010,893315,4056,4137151,1054328,889259,3082823,893275,4021,4064180,1006738,889254,3057442
fhoeben-hsac-fitnesse-plugin,OK,1218907,2857,1218907,2857,4277391,170624,1216050,4106767,1218889,2843,4241283,139747,1216046,4101536
ThoughtWire-hazelcast-locks,OK,71424,3979,71424,3979,1021484,648481,67445,373003,71399,3960,905297,532841,67439,372456
sysco-middleware-kafka-client-collector,OK,44936,6786,45010,6798,1250558,1024829,38212,225729,44443,6772,1239169,1018941,37671,220228
Workday-timeseries-forecast,OK,148432,42,148432,42,4321365,1748488,148390,2572877,148430,40,2579082,6205,148390,2572877
Blazemeter-xtn5250,OK,53949,1108,53953,1109,4348888,239027,52844,4109861,53942,1099,4338126,231998,52843,4106128
cloudspannerecosystem-pgadapter,OK,662884,2688,662884,2688,2626857,108110,660196,2518747,662839,2650,2568805,70408,660189,2498397
fasseg-exp4j,OK,203619,227,203619,227,1704729,419694,203392,1285035,203613,222,950458,1972,203391,948486
ferstl-depgraph-maven-plugin,OK,574929,5252,574929,5252,2835070,298394,569677,2536676,574433,5228,2627099,166172,569205,2460927
yinlou-mltk,OK,8869,452,8869,452,1789040,276772,8417,1512268,8859,444,1786955,275182,8415,1511773
uprotocol-platform-java,OK,383232,2494,383232,2494,1725631,448079,380738,1277552,383220,2483,1255239,135052,380737,1120187
Kurento-kurento-module-creator,OK,185245,1425,185245,1425,1488432,117536,183820,1370896,185165,1413,1458160,99199,183752,1358961
osglworks-java-tool,OK,116592,1882,116593,1882,3079527,1295578,114711,1783949,116395,1864,2951196,1174225,114531,1776971
sparkapi-SparkJava,OK,95318,1314,95318,1314,1068781,123419,94004,945362,94497,1298,907944,42724,93199,865220
ycdtbs-Face-recognition-login,OK,111592,4180,111641,4193,1318848,112392,107448,1206456,111169,4158,1278921,88413,107011,1190508
shazam-shazamcrest,OK,167793,861,167793,861,1617792,151912,166932,1465880,167783,853,1522669,99078,166930,1423591
EsotericSoftware-yamlbeans,OK,56286,7449,56286,7449,1353776,883053,48837,470723,56278,7443,1345888,878693,48835,467195
joelittlejohn-embedmongo-maven-plugin,OK,159613,4529,159613,4529,2144115,1334719,155084,809396,159552,4510,2049395,1273501,155042,775894
vaulttec-sonar-auth-oidc,OK,258331,2666,258331,2666,1023534,69098,255665,954436,258264,2628,989758,47771,255636,941987
vmzakharov-dataframe-ec,OK,638590,2188,638590,2188,3023659,168192,636402,2855467,638575,2174,2852085,78533,636401,2773552
binance-binance-connector-java,OK,104311,5465,104317,5465,5931463,4786662,98852,1144801,104300,5449,5804037,4666395,98851,1137642
darmiel-eeee,OK,9093,1021,9093,1021,1027972,915851,8072,112121,9090,1019,1024164,913946,8071,110218
houbb-pinyin,OK,671467,389,671467,389,3531224,1676897,671078,1854327,671463,386,2802875,1291228,671077,1511647
netceteragroup-trema-core,OK,365806,2692,365898,2711,1460989,183519,363187,1277470,365873,2690,1402219,142778,363183,1259441
520github-fw-perf-test,OK,45,14,45,14,4000422,4000109,31,313,42,11,400,87,31,313
