project,collection status,# traces,# unique traces,# traces based on unique file,# unique traces based on unique file,# events,# unique events,duplicated traces,duplicated events,(without raw) # traces based on unique file,(without raw) # unique traces based on unique file,(without raw) # events,(without raw) # unique events,(without raw) duplicated traces,(without raw) duplicated events
mateiw-littlebasic,OK,7493,627,7493,627,80774,31463,6866,49311,7486,621,79102,30133,6865,48969
welk1n-ReverseShell-Java,OK,165,58,165,58,888,504,107,384,158,52,630,361,106,269
digital-preservation-utf8-validator,OK,143,14,143,14,359,55,129,304,142,13,358,54,129,304
authlete-authlete-java-common,OK,12830,682,12832,683,197576,20266,12149,177310,12721,675,177667,10176,12046,167491
drmacro-wordinator,OK,951466,20141,951769,20165,219236353,23935730,931604,195300623,951014,20146,218726514,23583485,930868,195143029
wcnwyx-gm-encryption,OK,32154,259,32154,259,136591,29852,31895,106739,32147,253,94645,1805,31894,92840
qubole-qds-sdk-java,OK,30796,1677,30796,1677,143639,33859,29119,109780,30689,1657,125953,20125,29032,105828
Bandwidth-java-bandwidth,OK,12429,821,12429,821,147059,67568,11608,79491,12418,811,116316,51913,11607,64403
udger-udger-java,OK,20298,59,20298,59,166294,9797,20239,156497,20293,54,156928,431,20239,156497
jamf-AppConfig-Generator,OK,9,2,9,2,15,3,7,12,9,2,15,3,7,12
eBay-bsonpatch,OK,685339,9165,685339,9165,7970788,667167,676174,7303621,685333,9160,7237936,300393,676173,6937543
gmr-rabbitmq-flume-plugin,OK,77,14,77,14,410,165,63,245,74,12,137,24,62,113
sjbutler-idtk-j,OK,192,85,192,85,580,319,107,261,189,83,534,294,106,240
hummeling-if97,OK,24,7,24,7,273,145,17,128,21,5,93,53,16,40
gitbucket-markedj,OK,14146,585,14146,585,147200,106845,13561,40355,14134,574,105421,66327,13560,39094
stripe-interview-java-interview-prep,OK,10,8,10,8,59,52,2,7,6,5,46,44,1,2
maxmind-geoip-api-java,OK,25,6,25,6,912,886,19,26,23,4,31,5,19,26
alt236-apkdetails,OK,95,40,95,40,231,97,55,134,91,37,220,89,54,131
azige-moebooru-viewer,OK,2198,304,2198,304,60032,13802,1894,46230,2193,300,40569,3831,1893,36738
AlanDelip-SpringBoot-Template,OK,14404,1332,14404,1332,87048,28211,13072,58837,14315,1309,60296,13158,13006,47138
AwakenCN-InChat,OK,12,2,12,2,66,11,10,55,12,2,66,11,10,55
ning-tr13,OK,111,29,111,29,829,458,82,371,108,27,692,335,81,357
logpresso-CVE-2021-44228-Scanner,OK,9066,129,9066,129,123111,31948,8937,91163,9058,123,94176,3139,8935,91037
kristofa-wicket-tagcloud,OK,51,31,51,31,275,146,20,129,45,26,208,94,19,114
hajhouj-fastsico,OK,2,2,2,2,8,8,0,0,1,1,7,7,0,0
messai-engineering-Yuga,OK,23269,449,23269,449,76132,7307,22820,68825,23241,441,70987,4630,22800,66357
j-easy-easy-flows,OK,25804,1161,25804,1161,83887,8995,24643,74892,25787,1149,80539,6670,24638,73869
resourcepool-ssdp-client,OK,107,33,107,33,378,116,74,262,101,28,346,89,73,257
sdorra-shiro-unit,OK,24530,1139,24530,1139,91859,9969,23391,81890,24507,1128,88517,7736,23379,80781
TheBlackChamber-commons-encryption,OK,1232692,2446,1232692,2446,7257022,2911719,1230246,4345303,1232681,2436,5194178,1401283,1230245,3792895
giltene-jHiccup,OK,15,15,15,15,40,40,0,0,15,15,40,40,0,0
simplesteph-kafka-connect-github-source,OK,3739,513,3739,513,144065,85964,3226,58101,3722,499,125433,76520,3223,48913
cellsrg-tabbypdf,OK,18,17,18,17,45,42,1,3,16,16,39,39,0,0
f0ng-captcha-killer-modified,OK,162,61,162,61,461,221,101,240,158,58,415,188,100,227
jpenren-thymeleaf-ui-dialect,OK,16037,4388,16037,4388,7075175,5662823,11649,1412352,16026,4378,7068305,5656963,11648,1411342
ctron-rpm-builder,OK,7,4,7,4,12,9,3,3,5,2,5,2,3,3
crossoverJie-leetcode,OK,130,32,130,32,568,137,98,431,128,31,516,111,97,405
fuzziness-kabeja,OK,96,26,96,26,305,114,70,191,95,25,292,101,70,191
Coreoz-PPT-Templates,OK,83118,3188,83118,3188,7238534,982731,79930,6255803,83002,3177,7175280,944660,79825,6230620
Flying9001-pay,OK,3,3,3,3,20,20,0,0,2,2,19,19,0,0
mixpanel-mixpanel-java,OK,11084,156,11084,156,70026,5949,10928,64077,11079,152,61719,1789,10927,59930
xcbeyond-ConferenceTrackManagement,OK,77,19,77,19,235,74,58,161,70,13,210,54,57,156
CarmJos-AliDDNS-Updater,OK,6044,578,6044,578,57022,26163,5466,30859,6038,573,52594,22302,5465,30292
apache-maven-jar-plugin,OK,14681,866,14681,866,141903,96049,13815,45854,14668,856,129510,87339,13812,42171
rynr-launchpad,OK,7,7,7,7,409,409,0,0,6,6,406,406,0,0
beyonddream-JRAKE,OK,331,67,331,67,50096,12008,264,38088,326,63,49522,11717,263,37805
in28minutes-JUnitIn28Minutes,OK,21,14,21,14,65,48,7,17,20,13,62,45,7,17
imixs-muluk,OK,4,2,4,2,7,5,2,2,3,1,3,1,2,2
bookshelfdave-etp,OK,9405,519,9405,519,57890,14978,8886,42912,9398,513,55936,13520,8885,42416
IvanTrendafilov-Confucius,OK,2758,403,2758,403,110282,35819,2355,74463,2735,391,100951,31139,2344,69812
pizihao-crow,OK,1664833,1201,1664833,1201,7618876,665402,1663632,6953474,1664827,1196,7295149,503488,1663631,6791661
mfathi91-persian-date-time,OK,52,43,52,43,456,432,9,24,51,42,454,430,9,24
dmcg-okey-doke,OK,209,22,209,22,487,58,187,429,208,21,483,54,187,429
e-gineering-gitflow-helper-maven-plugin,OK,3,3,3,3,3,3,0,0,2,2,2,2,0,0
getgauge-contrib-gauge-maven-plugin,OK,616477,54222,616477,54222,701863617,699323425,562255,2540192,616466,54212,701561716,699113494,562254,2448222
square-osstrich,OK,6,2,6,2,15,5,4,10,6,2,15,5,4,10
in-the-keyhole-khs-sherpa,OK,2,2,2,2,5,5,0,0,0,0,0,0,0,0
Sonal0409-DevOpsCodeDemo,OK,114,48,114,48,895,503,66,392,111,45,871,479,66,392
tomsik68-mclauncher-api,OK,17,15,17,15,66,49,2,17,12,11,26,25,1,1
liqpay-sdk-java,OK,109,58,109,58,779,472,51,307,104,54,553,327,50,226
xcsp3team-XCSP3-Java-Tools,OK,2656135,923,2656135,923,9600664,2218094,2655212,7382570,2656127,917,7572428,225152,2655210,7347276
naosense-markdown-preview-sync,OK,31,26,31,26,732,685,5,47,28,24,676,649,4,27
qala-io-java-beginner-course,OK,12,5,12,5,43,20,7,23,9,3,18,6,6,12
jrmelsha-keccak,OK,31,5,31,5,235,40,26,195,30,4,228,33,26,195
CodinGameCommunity-XmasRush,OK,123,69,123,69,389,204,54,185,121,67,379,194,54,185
jhalterman-concurrentunit,OK,66,46,66,46,118,89,20,29,64,44,98,69,20,29
victorrentea-clean-code-dive,OK,13,9,13,9,59,37,4,22,12,8,58,36,4,22
taxjar-taxjar-java,OK,8453,350,8453,350,179459,62878,8103,116581,8439,337,107145,13762,8102,93383
mpatric-mp3agic,OK,21789,704,21789,704,145839,14955,21085,130884,21779,695,135100,6546,21084,128554
llatinov-sample-dropwizard-rest-stub,OK,41,21,41,21,248,159,20,89,38,20,233,154,18,79
jitsi-bccontrib,OK,6454,27,6454,27,133824,29072,6427,104752,6453,26,133590,28838,6427,104752
unruly-control,OK,16030,975,16030,975,55635,5753,15055,49882,16018,966,53807,4453,15052,49354
f4b6a3-uuid-creator,OK,568873,208,568873,208,8902581,6852523,568665,2050058,568866,202,2030899,841,568664,2030058
tking-JSTUN,OK,121,12,121,12,746,70,109,676,118,9,719,43,109,676
Progether-JAdventure,OK,34117,713,34117,713,120896,24661,33404,96235,34105,703,98656,12957,33402,85699
profesorfalken-jPowerShell,OK,11,9,11,9,341,188,2,153,8,7,36,35,1,1
alexr007-ultimate8,OK,4,4,4,4,33,33,0,0,4,4,33,33,0,0
opentracing-contrib-java-concurrent,OK,407,49,407,49,926,124,358,802,374,46,834,91,328,743
savantly-net-log4j2-extended-jsonlayout,OK,15330,1280,15433,1303,191037,38922,14130,152115,15289,1292,169397,27409,13997,141988
opengeospatial-ets-ogcapi-features10,OK,3751053,30925,3751053,30925,582098439,141470479,3720128,440627960,3749008,30890,580527895,140170253,3718118,440357642
NightFlightCaptain-ssm,OK,8,8,8,8,43,43,0,0,7,7,42,42,0,0
houbb-heaven,OK,54,29,54,29,325,222,25,103,51,27,312,211,24,101
rtyley-animated-gif-lib-for-java,OK,64,9,64,9,155,55,55,100,62,7,128,28,55,100
swtcpro-jingtum-lib-java,OK,15666,454,15666,454,63626,14117,15212,49509,15656,447,46219,2303,15209,43916
wepay-WePay-Java-SDK,OK,7,7,7,7,60,60,0,0,6,6,51,51,0,0
sandflow-regxmllib,OK,614809,70327,614809,70327,541735195,532505068,544482,9230127,614794,70322,541138596,532170952,544472,8967644
PureMVC-puremvc-java-standard-framework,OK,33,16,33,16,178,106,17,72,30,14,67,50,16,17
romanb-JPA-NestedSet,OK,30639,2392,30639,2392,181181,65083,28247,116098,30612,2377,153387,45727,28235,107660
FelixGail-gplaymusic,OK,22,4,22,4,31,7,18,24,22,4,31,7,18,24
digipost-http-client-builder,OK,22,8,22,8,85,31,14,54,21,7,81,27,14,54
dubin555-Kafka-Insight,OK,10,10,10,10,25,25,0,0,10,10,25,25,0,0
ripreal-V8LogScanner,OK,44256,2409,44256,2409,186628,39343,41847,147285,44172,2393,179961,35385,41779,144576
vibur-vibur-object-pool,OK,5,5,5,5,6,6,0,0,4,4,5,5,0,0
buddy-works-simple-java-project,OK,6,4,6,4,6,4,2,2,5,3,5,3,2,2
ibit-tech-sql-builder,OK,23138,344,23138,344,70901,1827,22794,69074,23132,339,70464,1459,22793,69005
devopshydclub-vprofile-repo,OK,17156,888,17156,888,68459,13682,16268,54777,17081,868,59317,8399,16213,50918
OrhanKupusoglu-bazelize-maven-plugin,OK,48,33,48,33,124,94,15,30,43,30,103,81,13,22
aidhog-blabel,OK,5139,268,5139,268,70828,2413,4871,68415,5108,255,69382,1549,4853,67833
JavadocMD-simplelatlng,OK,81,48,81,48,772,417,33,355,77,45,657,358,32,299
retog-wymiwyg-commons-core,OK,50,20,50,20,200,102,30,98,45,16,163,75,29,88
NishkarshRaj-Maven-Using-CMD,OK,2,2,2,2,2,2,0,0,2,2,2,2,0,0
SumoLogic-sumologic-kinesis-connector,OK,15024,1502,15028,1502,190532,89697,13526,100835,14904,1485,158197,72329,13419,85868
jackhallam-weightless-orm,OK,1715885,5356,1715885,5356,7199383,1569418,1710529,5629965,1715554,5338,6692958,1063317,1710216,5629641
riversun-java-promise,OK,9628,168,9630,170,58787,685,9460,58102,9628,168,58784,682,9460,58102
