520github/fw-parallel-task,b72d84511d43725eaa003240e827b1092c7c65b8
520github/fw-perf-test,6869c70db402a517a1754cf1bac1b0413232c8a5
520github/fw-statemachine,cd11219391b02d9d3f6292bb2eef1c0879514711
6tail/tyme4j,c2fc550f202423ebaf76dfcca8c2d4a177662440
abahgat/suffixtree,b95b632e7a88ab8175714e0c4a55488048fb2d04
AccelerationNet/access2csv,b0b4e25002baaee77e16551cbebab326375b85c6
AdamBien/xplr,b9c76dfd4b54d6d21893ed400284d834feceae6a
adobe/htl-tck,e5495b59902cfdf0e40dcbee92eb529733e1a889
afrunt/jach,4d49f2ccc3db6430b38c96e43e41cdb55026fd54
agentgt/jatl,17c257f40eadf9c9ead81a9c40cb6fb75d107b31
agido-malter/logback-elasticsearch-appender,f44fb36dcbfadbdb36d8bb4eb5cb1e29cf12642b
aidhog/blabel,f3c61e159fccd7ce638f447735e57a9f6e4a451d
ainslec/picocog,d88e9f19c2e4d337f6ad7af875c35c225c4525a8
ajantis/java-crdt,1dc29d2b960ea9e55da64847480e879612b7e4b2
akamai/NetStorageKit-Java,f51e42ac1449a3e5a4ff37b12189ad2388bcae2a
aleksandr-m/gitflow-maven-plugin,444ac422851c32b8972c6fcaf8f16634842c1cae
alex2chen/j-statemachine,741c14a0346c6bb0bce639e22717ce29c65bd548
alexr007/ultimate8,ae9b3d26f33e3473f8c93cd2b21d3159210ef709
aliyun/aliyun-log-flink-connector,d9f22941804f3efce58b9b76a990ed2db2f6d5b8
alt236/apkdetails,13583aeae187e10249d5247cda9aaef20fd74e86
amazon-archives/aws-request-signing-apache-interceptor,f39dfaf10763ff3b67f1bdcdfe3dfd1d20e12812
andree-surya/moji4j,ea0168f125da8791e951eab7cdf18b06a7db705b
antherd/sm-crypto,8923c6806101af340a852a88a547b8b892941b26
antlr/antlrworks,b602e5f0789290e90d008ddc805f7535c723403b
anubhavshukla/properties-to-yaml-converter,490aabadd1bbc0c21bc39b541bb73d5e20cde9d8
apache/commons-cli,ae7147049e8f5ee7a1ecd0ab8b56d5986e55e7a3
apache/maven-ear-plugin,c131bfce78f4300dee387c65df585752b1eabd83
apache/maven-verifier-plugin,16fea32011357766a22cb33a35e2f1fd4df16160
appnexus/ElasticNet4j,450efc85dbd6042d19d35a32931d3fd94441ff7d
arangodb/java-velocypack,e1a7794e98cb4da4fc048c2719f5c9d2b03e836b
asaflevy/SelenuimExtend,ca40deabb0aab1a84e6c0962e60fd7665c01e957
ashish-chopra/Structures,ce0a8f131568368bec3110f4ffddcb74d0b9ca0f
ashwanthkumar/slack-java-webhook,3694aae5fd9d9bb30ab2c118881c3761996c8824
assertthat/selenium-shutterbug,9efa2d86d63ed20d89077ab0e544e099242e64e9
ATLANTBH/owl,f808feae5b021ce37e7a937ab03bf3327be386ad
atorstling/bychan,779b07681bf2836efcd5c92e7bbdd85931de5156
Atrox/haikunatorjava,d4d4ee4d63b52264819a63be1a007457f6e6756b
augustd/burp-suite-jsonpath,23d6cda9a1a5c644054db4a5b54fa67c3966b73c
aurbroszniowski/os-platform-finder,dfd710288dce0d005f47940a0d6f16e7db4922f4
AVMf/avmf,820f18f74dcb5f348f19e7708abf7ab5e6daf2ca
AwakenCN/InChat,329de8bc3042b49aeaeb816d38b56e9de4226049
aws-cloudformation/cloudformation-template-schema,5d7815b14fd533c15c30f9046a76cdcb89afd32a
awslabs/amazon-kinesis-scaling-utils,23ba22041fb25a9e4b6d6f2490874625d784566f
axelhjalm/bitwig-midi-fighter-twister,a1ad3eecd81353437619818f3a0cf4db0519194b
azam/ulidj,a3078e5407bf377cf8e0077c181ea9e2917608f6
badlogic/basis-template,3e64d59f746a85dd42f92a04548e6613960b566f
bazaarvoice/dropwizard-redirect-bundle,5fe1702d221cfe2e38acb05065eaa5544cd7fe1c
beothorn/URISchemeHandler,40195a5469e5400eb33198e00270515030ad23d9
berndporr/iirj,41b6e328a0a19ee28dc27c94a34f4a6e5cea030a
BestCreater/SSM,75b3aa49ce2270270ce24ee89e47d597aef8a843
bestyize/DoubanAPI,fc5f3410d7ba2f5e536f3aa12a604ff3dc595093
beyonddream/JRAKE,e91b8ab93c493de53614debc241322f06df018a6
bgandon/juli-to-slf4j,e34d77777911216894f39d4b55d5021a5740f550
biouno/figshare-java-api,169deb1dde7dc3f2595bbcddd89cbe11ba401409
biouno/pbs-java-api,d9f8a5442bdbb211533d7342296afc2ace56d6b9
bkiers/atlas,ad3911e3bc240af4fc24d6eed55c499073f980f5
blackbeard334/djoom3,64362645420c99ac621b051a678de96883e2a329
blinkfox/mini-table,e6eb1e2f11fd80b0c0a3951cf136637b03f66418
bluemix/NumberToArabicWords,c480ff2b73fb8abba1ad40c50c7d0d00185a8eb4
bmwcarit/hmm-lib,18f483637138a273406ea397c79ede4999803855
bonnyfone/vectalign,63806ac71ebd5d9472bf97893b3ec6c5741b5735
bookshelfdave/etp,8f48539f90e2ce59505b6210632fb3b6976b3174
bouncestorage/chaos-http-proxy,1a11b3fd2eb413f9069a32921407681d7a97182e
bpodgursky/jbool_expressions,4210c9fc9b7ec81d42c6c32ecf24df66151055dc
bpsm/edn-java,7149c93d497edbd604db68d3878c163ccb3663b6
